type,timestamp,latitude,longitude,peakcurrent,icheight,numbersensors,icmultiplicity,cgmultiplicity,starttime,endtime,duration,ullatitude,ullongitude,lrlatitude,lrlongitude
 1, 2024-05-19T18:45:23.190575838,  26.525325,  87.625048,   4686, 4139,   6,   3,   0, 2024-05-19T18:45:23.190575838, 2024-05-19T18:45:23.309818983, 0.119243,  26.481692,  26.525325,  87.540520,  87.625048  
 0, 2024-05-19T18:45:25.956454515,  26.493419,  87.651584, -17974,    0,   7,   0,   1, 2024-05-19T18:45:25.956454515, 2024-05-19T18:45:25.956454515, 0.000000,  26.493419,  26.493419,  87.651584,  87.651584  
 1, 2024-05-19T18:45:25.942180157,  26.351825,  87.656627,   4716, 7290,   7,   1,   0, 2024-05-19T18:45:25.942180157, 2024-05-19T18:45:25.942180157, 0.000000,  26.351825,  26.351825,  87.656627,  87.656627  
 1, 2024-05-19T18:45:28.045417547,  26.487626,  87.551828,   5451, 9487,   8,   2,   0, 2024-05-19T18:45:28.045417547, 2024-05-19T18:45:28.104360580, 0.058943,  26.482886,  26.487626,  87.546771,  87.551828  
 1, 2024-05-19T18:45:30.339915752,  26.494947,  87.186716,  -2403, 8770,   5,   1,   0, 2024-05-19T18:45:30.339915752, 2024-05-19T18:45:30.339915752, 0.000000,  26.494947,  26.494947,  87.186716,  87.186716  
 1, 2024-05-19T18:45:35.363584280,  26.488659,  87.663962,   6448, 3185,   9,   4,   0, 2024-05-19T18:45:35.329305649, 2024-05-19T18:45:35.478465080, 0.149159,  26.484946,  26.498046,  87.663962,  87.676972  
 1, 2024-05-19T18:45:36.088693380,  26.471622,  87.548622,   7005, 19475,   8,   2,   0, 2024-05-19T18:45:36.026030302, 2024-05-19T18:45:36.088693380, 0.062663,  26.471622,  26.503734,  87.537143,  87.548622  
 1, 2024-05-19T18:45:38.352673769,  26.492457,  87.535870,   6906, 3000,   8,   2,   0, 2024-05-19T18:45:38.269283056, 2024-05-19T18:45:38.352673769, 0.083391,  26.491937,  26.492457,  87.535870,  87.537022  
 1, 2024-05-19T18:45:41.765932798,  26.403977,  87.968523,  -2774, 7128,   5,   1,   0, 2024-05-19T18:45:41.765932798, 2024-05-19T18:45:41.765932798, 0.000000,  26.403977,  26.403977,  87.968523,  87.968523  
 0, 2024-05-19T18:45:43.774701357,  26.365166,  87.679437,  11169,    0,   7,   6,   1, 2024-05-19T18:45:43.598891020, 2024-05-19T18:45:43.834197521, 0.235307,  26.328693,  26.409418,  87.626523,  87.679437  
 0, 2024-05-19T18:45:44.946862221,  26.557201,  87.306330, -13180,    0,  10,   0,   1, 2024-05-19T18:45:44.946862221, 2024-05-19T18:45:44.946862221, 0.000000,  26.557201,  26.557201,  87.306330,  87.306330  
 1, 2024-05-19T18:45:44.505452394,  26.485270,  87.550887,   7982, 3001,   9,   4,   0, 2024-05-19T18:45:44.503544807, 2024-05-19T18:45:44.708559036, 0.205014,  26.484502,  26.486062,  87.547405,  87.550887  
 1, 2024-05-19T18:45:47.186962366,  26.506970,  87.546137,   3129, 9456,   5,   1,   0, 2024-05-19T18:45:47.186962366, 2024-05-19T18:45:47.186962366, 0.000000,  26.506970,  26.506970,  87.546137,  87.546137  
 1, 2024-05-19T18:45:49.420421362,  26.518080,  87.647815,   4173, 15500,   7,   1,   0, 2024-05-19T18:45:49.420421362, 2024-05-19T18:45:49.420421362, 0.000000,  26.518080,  26.518080,  87.647815,  87.647815  
 1, 2024-05-19T18:45:49.816770554,  26.477444,  87.547098,  12469, 7451,   8,   3,   0, 2024-05-19T18:45:49.761215448, 2024-05-19T18:45:49.827216387, 0.066001,  26.473978,  26.482418,  87.547098,  87.549923  
